fdc_id,title,current_path,centroid_path,decision,chosen_desc,confidence,skip_reason,rationale
371918,"APPLESNAX, APPLESAUCE WITH PEACHES",Pantry > Canned Fruit > Peaches,Pantry > Sauces & Salsas > Sauce > Sweetened,other,applesauce with peaches,0.95,other_jaccard_low_0.20,"The product is applesauce with peaches, which is a fruit-based snack, not canned peaches or a sweetened sauce."
1856160,"WHITE HOUSE, FRUITASTICS, APPLE SAUCE SMOOTHERS, SUPER STRAWBERRY, SUPER STRAWBE",Pantry > Sauces & Salsas > Sauce,Snack > Fruit Snacks > Organic,other,apple sauce pouch,0.90,other_jaccard_low_0.33,"The product is an apple sauce smoothie, not a sauce or an organic fruit snack; it belongs in a category like baby food or fruit snacks for kids."
2648874,"Zee Zees Applesauce Cup, Super Sour Apple, 4.5 oz.",Pantry > Sauces & Salsas > Sauce,Pantry > Canned Fruit > Mixed Fruit,other,applesauce cup,1.00,other_jaccard_low_0.25,"The product is applesauce, which is a processed fruit puree, not a sauce or canned mixed fruit."
2649924,"Zee Zees Applesauce Cup, Very Strawberry, 4.5 oz.",Pantry > Sauces & Salsas > Sauce,Pantry > Canned Fruit > Mixed Fruit,other,"applesauce cup, strawberry flavored",0.95,other_jaccard_low_0.25,"The product is applesauce, not a sauce or canned mixed fruit; it belongs in a category like 'Pantry > Canned Fruit > Applesauce' or similar."
2649779,"Zee Zees Applesauce Cup, Very Strawberry, 4.5 oz.",Pantry > Sauces & Salsas > Sauce,Pantry > Canned Fruit > Mixed Fruit,other,"applesauce cup, strawberry flavored",0.95,other_jaccard_low_0.25,"The product is a strawberry-flavored applesauce, not a sauce or canned mixed fruit."
2649164,"Zee Zees Applesauce Cup, Original, 4.5 oz.",Pantry > Sauces & Salsas > Sauce,Pantry > Sauces & Salsas > Sauce > No Sugar Added,other,applesauce cup,1.00,other_jaccard_low_0.25,"Applesauce is a fruit-based product, not a sauce or salsa, and it contains sugar, so 'No Sugar Added' is incorrect."
2651428,"Zee Zees Applesauce Cup, Super Sour Apple, 4.5 oz.",Pantry > Sauces & Salsas > Sauce,Pantry > Canned Fruit > Mixed Fruit,other,"applesauce cup, sour apple flavored",0.95,other_jaccard_low_0.29,"The product is a flavored applesauce, not a sauce or canned mixed fruit."
450371,CHERRYCANDY APPLES WITH PEANUTS,Snack > Nuts > Peanuts > Hard,Produce > Fruit > Apples,other,candy-coated apple with peanuts,0.95,other_jaccard_low_0.43,"The product is a candy apple with peanuts, not a plain apple or peanuts, so neither path fits."
1910688,"DROPS, MILK, BANANA",Dairy > Milk,Pantry > Canned Milk > Coconut Milk,other,sugar-free banana flavored drops,1.00,other_jaccard_low_0.38,"The product is a liquid sweetener/flavoring, not a milk or canned milk."
2653774,ROSCA DE REYES SWEET  BAKED GOOD,Bakery > Toaster Pastries,Bakery > Bread > Baked,other,sweet bread ring with fruit paste,0.95,other_jaccard_low_0.29,"The product is a sweet baked good with fruit paste, not a toaster pastry or standard bread."
1565276,SUN-RISE PANCAKES,Bakery > Cake,Bakery > Crepes,other,pancake mix or prepared pancake,0.95,other_jaccard_low_0.33,"The product is a pancake, not a cake or crepe, based on title and ingredients."
2281583,"GOURMET BRAT BUN, GOURMET BRAT",Snack > Pretzels,Snack > Pretzels > Bun,other,bread bun for bratwurst,1.00,other_jaccard_low_0.40,"The product is a bread bun, not a pretzel or a bun in the snack pretzel category."
2649168,"Zee Zees Applesauce Cup, Birthday Cake, 4.5 oz.",Pantry > Sauces & Salsas > Sauce,Bakery > Cake > Iced,other,"applesauce cup, flavored",1.00,other_jaccard_low_0.20,"The product is applesauce, not a sauce or an iced cake; ingredients confirm it's a fruit-based snack."
517384,PUMPKIN SPICE COOKIE BUTTER SPREAD,Snack > Cookies,Dairy > Butter > Butter > Spread,other,cookie butter spread,0.95,other_jaccard_low_0.50,"The product is a spread made from cookies, not a dairy butter or a cookie itself, so it belongs in a spreads category."
2128775,SWEET CORN PANCAKES,Bakery > Cake,Bakery > Crepes,other,corn pancake mix,0.95,other_jaccard_low_0.50,"The product is a pancake mix, not a cake or crepe, and the ingredients confirm it's a batter for cooking pancakes."
2521391,"Sandwich, Maple Pancake, Whole Grain, Beef Sausage, Individually Wrapped",Snack > Crackers > Whole Grain,Bakery > Cake > Whole Grain,other,frozen breakfast sandwich with whole grain pancake and beef sausage,0.95,other_jaccard_low_0.50,"The item is a sandwich with a pancake-like waffle and sausage, not a cracker or cake."
2653621,"QUAKER RICE CAKES VARIETY PACK, 23.7 OZ, 4 COUNT, CARAMEL; CHOCOLATE",Snack > Candy > Caramel,Snack > Cookies > Whole Grain,other,"rice cakes, caramel and chocolate flavored",0.95,other_jaccard_low_0.43,"The product is a rice cake snack, not candy or cookies, and the ingredients confirm it's a grain-based snack with caramel and chocolate flavors."
2518026,"Cold Fudge for Ice Cream Cakes, #10 can, 96 OZ",Snack > Candy,Frozen > Ice Cream > Ice Cream Cake,other,chocolate fudge sauce for ice cream cakes,0.95,other_jaccard_low_0.40,"The product is a cold fudge sauce, not a candy or an ice cream cake; it belongs in a dessert sauce/topping category."
2741434,Betty Crocker Cinnamon Toast Crunch Cinnadust Frosting,Pantry > Spices & Seasonings > Cinnamon,Pantry > Baking Mixes > Cake Mix > Cake,other,cinnamon frosting,1.00,other_jaccard_low_0.25,"The product is a frosting, not a spice or a cake mix, so neither current nor proposed path fits."
2124359,"DARK CHOCOLATE SEA SALT TRUFFLES, DARK CHOCOLATE SEA SALT",Snack > Candy > Truffles > Sea Salt,Snack > Candy > Chocolate Candy > Organic > Sea Salt,proposed,,0.80,low_confidence,"The ingredients include organic coconut oil, and the branded category is 'Chocolate', so the proposed path 'Snack > Candy > Chocolate Candy > Organic > Sea Salt"
2281843,"CARAMEL MACCHIATO, SALTED CARAMEL, BANANAS FOSTER, BROWNIE FUDGE, S'MORES TRUFFL",Bakery > Brownies,Snack > Candy > Truffles > Salted,other,"milkshake flight with caramel, bananas foster, brownie fudge, s'mores truffle flavors",0.95,other_jaccard_low_0.15,"The product is a milkshake flight, not a brownie or candy truffle; ingredients include milk, cream, and chocolate, but the title clearly describes a beverage."
2447372,"STRAWBERRY & GREEN APPLE SOUR TAFFY COMBO, STRAWBERRY & GREEN APPLE",Snack > Candy > Caramel,Snack > Candy > Licorice > Twists > Sugar Free,other,sour taffy candy,1.00,other_jaccard_low_0.50,"The product is a sour taffy, not caramel or licorice, and contains sugar, so 'Sugar Free' is incorrect."
2133926,"SOUR STREAMERS GUMMI CANDY, BLUE RASPBERRY, CHERRY, ORANGE, APPLE",Dairy > Cream > Sour Cream,Snack > Candy > Gummy Candy > Sugar Free,other,gummy candy with sugar,1.00,other_jaccard_low_0.50,"The product is a regular (not sugar-free) gummy candy, so neither the current path (sour cream) nor the proposed path (sugar-free) is correct."
2485242,"CELERY, CARROTS, CHEDDAR CHEESE, LITEHOUSE EVERYTHING BAGEL SEASONED RANCH SNACK",Snack > Crackers,Produce > Vegetables > Carrots > Chopped > Red,other,vegetable and cheese snack pack with dip,0.95,other_jaccard_low_0.38,"The item is a snack pack containing celery, carrots, cheddar cheese, and ranch dressing, not a cracker or a standalone carrot product."
1886418,"MARKET ESSENTIALS, CORN & WHOLE WHEAT FLAKE CEREAL WITH GRANOLA, HONEY & OAT, HO",Pantry > Canned Vegetables > Corn > Whole,Snack > Granola > Whole Grain,other,"breakfast cereal with granola, honey and oat",1.00,other_jaccard_low_0.33,"The product is a cereal with granola, not canned vegetables or snack granola; it belongs in a breakfast cereal category."
2634417,"VANILLA ALMOND AWAKE CRISPY RICE AND WHEAT CEREAL WITH ALMONDS, VANILLA ALMOND A",Pantry > Spices & Seasonings > Vanilla,Snack > Nuts > Almonds > Low Fat,other,breakfast cereal with almonds,1.00,other_jaccard_low_0.40,"The product is a cereal, not a spice or seasoning, nor just almonds; it belongs in a breakfast cereal category."
1886529,"ALPINA, AVENA, OATMEAL SMOOTHIE, CHOCOLATE, CHOCOLATE",Beverage > Carbonated > Cola,Pantry > Spices & Seasonings > Cinnamon > Hot,other,chocolate oatmeal smoothie drink,1.00,other_jaccard_low_0.33,"The product is a liquid breakfast drink with oatmeal and chocolate flavor, not a carbonated cola or a spice."
467625,OATMEAL DRINK,Dairy > Milk,Pantry > Grain > Oats > High Protein,other,oatmeal milk drink,0.95,other_jaccard_low_0.50,"The product is a ready-to-drink oatmeal beverage with milk, not plain milk or dry oats, so it belongs in a category like 'Beverages > Dairy & Egg Substitute Dri"
1875695,"AHOLD, GRANOLA CHIPS, HONEY, HONEY",Pantry > Sweeteners > Honey,Snack > Chips > Potato Chips > Reduced Fat,other,honey granola chips,0.95,other_jaccard_low_0.40,"The product is a granola chip snack, not honey as a sweetener nor a potato chip, so both paths are incorrect."
2525699,Kellogg's Rice Krispies Cereal Strawberry 11.5oz,Pantry > Grain > Rice,Snack > Bars > Cereal Bars > Rice Krispies Treats > Original,other,strawberry-flavored rice cereal,1.00,other_jaccard_low_0.40,"The product is a strawberry-flavored rice breakfast cereal, not plain rice or a cereal bar."
2651395,Kellogg's Rice Krispies Cereal 1.3oz,Pantry > Grain > Rice,Snack > Bars > Cereal Bars > Rice Krispies Treats > Original,other,crisped rice cereal,1.00,other_jaccard_low_0.40,"The product is a ready-to-eat cereal, not raw rice or a cereal bar, so neither path fits."
2502461,"CINNAMON TOAST SQUARES CEREAL, CINNAMON TOAST SQUARES",Pantry > Spices & Seasonings > Cinnamon > Organic,Pantry > Spices & Seasonings > Cinnamon > Squares,other,organic cinnamon toast cereal,1.00,other_jaccard_low_0.43,"The product is a breakfast cereal, not a cinnamon spice or seasoning, so both paths are incorrect."
599276,FRESH MOZZARELLA 5 CHEESE TOAST,Bakery > Bread,Dairy > Cheese > String Cheese > Breaded,other,frozen cheese bread toast,0.95,other_jaccard_low_0.50,"The product is a frozen cheese toast, not plain bread or dairy cheese alone; it belongs in frozen prepared foods."
2578813,"CHILI PEPPER INFUSED SHEEP'S MILK CHEESE, CHILI PEPPER",Dairy > Milk,Dairy > Milk > Soft,other,sheep milk cheese with chili pepper,1.00,other_jaccard_low_0.38,"The product is a cheese, not milk, and the current path 'Dairy > Milk' is too generic; the proposed path 'Dairy > Milk > Soft' is also incorrect as it's still u"
2654140,"MEGA BERRIES CRUNCH SWEETENED CORN & OAT SNACK, MEGA BERRIES CRUNCH",Snack > Chips,Pantry > Canned Vegetables > Corn > Crunch > Sweetened,other,sweetened corn and oat breakfast cereal,1.00,other_jaccard_low_0.50,"The product is a sweetened corn and oat snack cereal, not chips or canned vegetables."
2474318,"CRUNCH BERRIES CORN & OAT SNACK, CRUNCH BERRIES",Snack > Chips,Pantry > Canned Vegetables > Corn > Crunch > Sweetened,other,sweetened corn and oat breakfast cereal,1.00,other_jaccard_low_0.50,"The product is a sweetened breakfast cereal, not chips or canned vegetables."
1861751,CHOCO CHUNK COCONUT CRISPS,Snack > Candy > Chocolate Candy > Sea Salt,Snack > Nuts > Cashews > Toasted,other,coconut crisps with chocolate and sea salt,0.95,other_jaccard_low_0.36,"The product is a coconut-based snack with cacao and salt, not a chocolate candy or cashew nut."
1783904,SWEET TAMARIND WITH CHILE,Snack > Candy > Hard Candy,Snack > Nuts > Peanuts > Chili Lime,other,tamarind chile candy,0.95,other_jaccard_low_0.50,"The product is a sweet tamarind candy with chile, not a nut or hard candy; it's a confection made from tamarind pulp."
1936159,SWEET & SALTY SNACKER,Snack > Crackers,Snack > Trail Mix > Sweet,other,"snack pack with carrots, grapes, pretzels, and cheese",0.95,other_jaccard_low_0.33,"The product is a combination snack pack with fresh produce, pretzels, and cheese, not crackers or trail mix."
474718,CAPTAIN AMERICA CHOCOLATE CHIP BARK,Snack > Cookies,Snack > Candy > Chocolate Candy > Peppermint Bark,other,chocolate chip bark,0.95,other_jaccard_low_0.50,"The product is a chocolate chip bark, which is a type of chocolate confection, but not specifically peppermint bark, and it is not a cookie."
2412924,"NEW ENGLAND STYLE LOBSTER CORN CHOWDER CONDENSED SOUP, NEW ENGLAND STYLE LOBSTER",Pantry > Canned Vegetables > Corn,Pantry > Canned Vegetables > Corn > Chunky,other,canned condensed soup with lobster and corn,1.00,other_jaccard_low_0.25,"The product is a condensed soup containing lobster and corn, not plain canned corn or chunky corn."
2470498,"SHRIMP & ROASTED CORN CHOWDER, SHRIMP & ROASTED",Pantry > Canned Vegetables > Corn,Pantry > Canned Vegetables > Corn > Chunky,other,canned condensed soup with shrimp and corn,1.00,other_jaccard_low_0.25,"The product is a soup, not canned corn or chunky corn; the ingredients and branded category confirm it's a condensed soup."
371463,"DULCERIA PILOTO, SWEET CREAM OF MILK WITH COCONUT",Pantry > Sweetened Condensed Milk,Pantry > Canned Milk > Coconut Milk,other,sweetened cream of milk with coconut,0.90,other_jaccard_low_0.43,"The product is a sweet cream of milk with coconut, not a condensed milk or plain coconut milk; it's a sweetened dairy-coconut blend."
2154398,"CHOCOLATE MEXICANO CLASSIC COLLECTION, CINNAMON, VANILLA, GUAJILLO CHILI, SALTED",Beverage > Carbonated > Cola,Snack > Candy > Chocolate Candy > Dark Chocolate > Coffee Beans,other,drink mix or hot chocolate,0.95,other_jaccard_low_0.50,"The product is a chocolate mix for beverages, not a carbonated cola or a chocolate candy bar, based on ingredients and branded category 'Other Drinks'."
2433322,"THE BEST CHOCOLATE CHIP COOKIES, PECANS & WALNUTS!",Snack > Nuts > Walnuts,Snack > Nuts > Pecans > Sugar Free,other,chocolate chip cookie with pecans and walnuts,1.00,other_jaccard_low_0.33,"The product is a prepared cookie, not a plain nut; both current and proposed paths incorrectly categorize it as nuts."
2033314,SCANDALOUS DOUBLE CHOCOLATE MOUSSE PREMIUM MIX,Pantry > Pudding & Custard Mixes > Pudding Mix,Dairy > Mousse,other,chocolate mousse mix,0.95,other_jaccard_low_0.50,"The product is a dry mix for making chocolate mousse, not a prepared dairy mousse, and it is not a pudding mix."
351127,NABISCO PINWHEELS COOKIES MARSHMALLOW 1X12.000 OZ,Snack > Candy > Marshmallows,Snack > Cookies > Fat Free,other,chocolate-coated marshmallow pinwheel cookies,0.95,other_jaccard_low_0.50,"The product is a cookie with marshmallow and chocolate coating, not a plain marshmallow or fat-free cookie."
2661667,"PEPPERMINT FUDGE MIX, PEPPERMINT",Pantry > Spices & Seasonings > Pepper,Pantry > Baking Mixes > Ice Cream,other,fudge mix with peppermint crunch and icing,1.00,other_jaccard_low_0.22,"The product is a peppermint fudge mix with icing, not a spice/seasoning or ice cream mix."
2636256,CANDY CANE WHITE CHOCOLATE COVERED SANDWICH COOKIES WITH CRUSHED PEPPERMINT CAND,Meal > Sandwiches > Sandwich,Snack > Candy > Mints > Sandwich,other,white chocolate covered sandwich cookies with peppermint,1.00,other_jaccard_low_0.50,"The item is a cookie, not a sandwich meal or a mint candy; it belongs in a cookies category."
2669135,"THIN MINTS SEASONING BLEND, THIN MINTS",Pantry > Spices & Seasonings > Seasoning,Snack > Candy > Mints > Thins,other,seasoning blend for cookies,0.90,other_jaccard_low_0.33,"The product is a seasoning blend intended for use on cookies or desserts, not a candy mint, and it is more specific than a generic seasoning."
351348,OREO COOKIES PEPPERMINT 1X10.700 OZ,Snack > Candy > Mints,Snack > Cookies > Golden Oreo,other,chocolate sandwich cookies with peppermint,0.95,other_jaccard_low_0.50,"The product is a chocolate cookie with peppermint flavor, not a mint candy or a golden Oreo variant."
467667,FISH SHEET,Snack > Crackers,Meat & Seafood > Fish > Fish Sticks,other,fish snack sheet,0.90,other_jaccard_low_0.50,"The product is a fish-based snack sheet made from surimi and flour, not a cracker or a fish stick, so it belongs in a snack category for fish-based sheets."
2468405,BEAUTY SUPERFOOD BLEND,Pantry > Mixes > Lemonade Mix,Snack > Dried Fruit > Dried Fruit Mix,other,superfood powder blend,0.95,other_jaccard_low_0.50,"The product is a powdered blend of superfoods and collagen, not a lemonade mix or dried fruit mix."
1917612,FLATBREAD CRACKERS,Bakery > Flatbread,Snack > Crackers > Low Fat,proposed,,0.80,low_confidence,"The product is a flatbread cracker, which is a snack cracker, not a bakery flatbread, and the ingredients do not indicate low fat, but the proposed path is clos"
2103186,"CHOCOLATE HAZELNUT BUTTER BLEND WITH PRETZELS SNACK PACK, CHOCOLATE",Bakery > Cake,Snack > Nuts > Hazelnuts,other,chocolate hazelnut butter with pretzels snack pack,0.95,other_jaccard_low_0.44,"The product is a snack pack containing a chocolate hazelnut butter blend and pretzels, not a cake or just hazelnuts."
2468407,ENERGY ORGANIC SUPERFOOD BLEND,Pantry > Mixes > Lemonade Mix,Snack > Dried Fruit > Dried Fruit Mix,other,organic superfood powder blend,0.95,other_jaccard_low_0.43,"The product is a powdered blend of superfood ingredients like lucuma, maca, and matcha, not a lemonade mix or dried fruit mix."
1570315,SOUR CREAM & CHIVE,Pantry > Dips & Spreads > Dip,Pantry > Baking Mixes > Lentils,other,instant potato mix with sour cream and chive flavor,0.95,other_jaccard_low_0.25,"The product is a dehydrated potato mix with sour cream and chive flavoring, not a dip or a lentil mix."
2440235,"ORCHARD FRESH, CASHEWS, VANILLA CARAMEL SEA SALT, VANILLA CARAMEL SEA SALT",Snack > Candy > Caramel > Hard,Snack > Nuts > Macadamia Nuts > Sea Salt,other,candied cashew,0.95,other_jaccard_low_0.25,"The product is cashews coated in a sweet caramel and sea salt mixture, which is a candied nut snack, not a hard caramel candy or plain sea salt macadamia nuts."
2107166,"FRENCH VANILLA FLAVOR INSTANT COFFEE MIX, FRENCH VANILLA",Pantry > Spices & Seasonings > Vanilla > Instant,Beverage > Coffee Creamer > Sugar Free,other,instant coffee mix with vanilla flavor,1.00,other_jaccard_low_0.38,"The product is a sweetened instant coffee mix, not a spice or a sugar-free creamer."
2554143,"LAYERED BEAN DIP, LAYERED BEAN",Pantry > Canned Vegetables > Red Beans,Pantry > Canned Vegetables > Black Beans > Mild,other,refried bean dip with salsa,0.95,other_jaccard_low_0.25,"The product is a layered bean dip containing refried beans and salsa, not plain canned red or black beans."
2313970,"MEXICAN STYLE LAYERED BEAN DIP, MEXICAN STYLE",Pantry > Canned Vegetables > Red Beans,Pantry > Canned Vegetables > Black Beans > Mild,other,refried bean dip with pico de gallo and sour cream,1.00,other_jaccard_low_0.27,"The product is a prepared dip containing refried beans, pico de gallo, and sour cream, not a plain canned bean product."
2737319,Old El Paso Taco Bites Beef and Cheese 20 Count,Dairy > Cheese,Pantry > Baking Mixes > Taco Kit,other,frozen beef and cheese taco bites,0.95,other_jaccard_low_0.44,"The product is a frozen appetizer with a dough shell, beef, and cheese, not a dairy cheese item or a taco kit mix."
2025066,MEDIUM INDIAN BENGAL WHOLE LENTILS SIMMERED IN A SAUCE OF AROMATIC HERBS & SPICE,Meal > Pasta Dishes,Pantry > Baking Mixes > Lentils,other,lentil curry entree,0.95,other_jaccard_low_0.33,"The product is a prepared lentil curry meal, not a pasta dish or a baking mix."
