targets,week,recipe_id,recipe_title,display,ingredient_item,grams_resolved,grams_source,recipe_concept_key,resolution_tier,priced_concept_key,selected_packages,purchase_grams,purchase_cost
chicken,1,361601,Cheesy Chicken Quesadillas,"2 boneless skinless chicken breasts (about 1 lb total), cut into cubes",boneless skinless chicken breasts,340.00,reviewed_household_portion_normalized,Meat & Seafood > Poultry > Chicken Breast|3001000K,exact,Meat & Seafood > Poultry > Chicken Breast|3001000K,"1x Marketside Antibiotic-Free Boneless Skinless Chicken Breasts, 1.3 - 3.0 lb",1360.8,7.57
cheddar,1,361601,Cheesy Chicken Quesadillas,"1 1/2 cups sharp cheddar cheese, shredded",sharp cheddar cheese,170.00,blob,Dairy > Cheese > Cheddar|1101005P,exact,Dairy > Cheese > Cheddar|1101005P,"1x Great Value Sharp Cheddar Finely Shredded Cheese, 16 oz Bag | 1x Great Value Mild Cheddar Shredded Cheese, 8 oz Bag",709.8,5.45
chicken,1,286497,Poached Chicken Breast (Crock Pot),"6 boneless skinless chicken breasts, about 1.5 to 2 pounds total",boneless skinless chicken breasts,907.00,total_weight_range_restored,Meat & Seafood > Poultry > Chicken Breast|3001000K,exact,Meat & Seafood > Poultry > Chicken Breast|3001000K,"1x Marketside Antibiotic-Free Boneless Skinless Chicken Breasts, 1.3 - 3.0 lb",1360.8,7.57
chicken,1,286497,Poached Chicken Breast (Crock Pot),14 1/2 ounces low sodium chicken broth,low sodium chicken broth,411.00,blob,Pantry > Broth & Stock > Chicken Broth|J0066005,exact,Pantry > Broth & Stock > Chicken Broth|J0066005,"3x Great Value Reduced Sodium Gluten-Free Chicken Broth, 32 oz Carton (Shelf-Stable) | 2x Great Value Chicken Broth, 14.5 oz (Shelf-Stable)",3785.4,5.25
chicken,1,473026,Immune-Boosting Broth Soup,64 ounces organic chicken broth (or vegetable broth),chicken broth,1814.40,deterministic_modal_normalized,Pantry > Broth & Stock > Chicken Broth|J0066005,exact,Pantry > Broth & Stock > Chicken Broth|J0066005,"3x Great Value Reduced Sodium Gluten-Free Chicken Broth, 32 oz Carton (Shelf-Stable) | 2x Great Value Chicken Broth, 14.5 oz (Shelf-Stable)",3785.4,5.25
"pork,ham",1,7915,Southwest Ham and Cheese Grilled Sandwiches,"6 slices smoked ham, cooked",smoked ham,90.00,deterministic_modal_normalized,Meat & Seafood > Ham > Smoked Ham|2401830E,path_only,Meat & Seafood > Ham > Smoked Ham|2401841A,1x Kroger® Smoked Ham Deli Sliced,340.2,5.0
cheddar,1,7915,Southwest Ham and Cheese Grilled Sandwiches,"3 cups mild cheddar cheese, shredded",mild cheddar cheese,360.00,blob,Dairy > Cheese > Cheddar|1101005P,exact,Dairy > Cheese > Cheddar|1101005P,"1x Great Value Sharp Cheddar Finely Shredded Cheese, 16 oz Bag | 1x Great Value Mild Cheddar Shredded Cheese, 8 oz Bag",709.8,5.45
cheddar,1,118172,Macaroni and Cheese Soup,1 cup shredded cheddar cheese,cheddar cheese,113.00,blob,Dairy > Cheese > Cheddar|1101005P,exact,Dairy > Cheese > Cheddar|1101005P,"1x Great Value Sharp Cheddar Finely Shredded Cheese, 16 oz Bag | 1x Great Value Mild Cheddar Shredded Cheese, 8 oz Bag",709.8,5.45
cheddar,1,463560,Butter Bean Burgers,"1/2 cup sharp cheddar cheese, shredded",sharp cheddar cheese,56.00,blob,Dairy > Cheese > Cheddar|1101005P,exact,Dairy > Cheese > Cheddar|1101005P,"1x Great Value Sharp Cheddar Finely Shredded Cheese, 16 oz Bag | 1x Great Value Mild Cheddar Shredded Cheese, 8 oz Bag",709.8,5.45
chicken,1,25993,Fusako's Egg Drop Soup,3 cups chicken broth,chicken broth,720.00,reviewed_household_portion_normalized,Pantry > Broth & Stock > Chicken Broth|J0066005,exact,Pantry > Broth & Stock > Chicken Broth|J0066005,"3x Great Value Reduced Sodium Gluten-Free Chicken Broth, 32 oz Carton (Shelf-Stable) | 2x Great Value Chicken Broth, 14.5 oz (Shelf-Stable)",3785.4,5.25
