kind,item,unit,grams_per_unit,reason,evidence,message
OUT_OF_RANGE,bay leaves,leaf,0.5,reviewed_household_default,SR28 170917 Bay leaf has crumbled tsp=0.6g; corpus modal for whole leaf is 0.5g,"leaf typical 1-30g, got 0.5g"
OUT_OF_RANGE,bay leaf,leaf,0.5,reviewed_household_default,SR28 170917 Bay leaf has crumbled tsp=0.6g; corpus modal for whole leaf is 0.5g,"leaf typical 1-30g, got 0.5g"
UNKNOWN_UNIT,cinnamon stick,stick,3.0,reviewed_household_default,SR28 has only ground cinnamon portions; corpus modal whole stick=3g,unit 'stick' not in validator
UNKNOWN_UNIT,cinnamon sticks,stick,3.0,reviewed_household_default,SR28 has only ground cinnamon portions; corpus modal whole stick=3g,unit 'stick' not in validator
OUT_OF_RANGE,tortilla chips,cup,28.0,reviewed_household_default,Corpus modal for crushed tortilla chips cup is 25-30g; reviewed default 28g,"cup typical 40-350g, got 28.0g"
OUT_OF_RANGE,whole cloves,clove,0.5,reviewed_household_default,Corpus modal for whole clove spice is 0.5g per clove,"clove typical 3-12g, got 0.5g"
OUT_OF_RANGE,dried mint,tsp,0.5,explicit_sr28_portion,SR28 172239 Spearmint dried tsp=0.5g,"tsp typical 1-12g, got 0.5g"
OUT_OF_RANGE,dried mint,tbsp,1.6,explicit_sr28_portion,SR28 172239 Spearmint dried tbsp=1.6g,"tbsp typical 3-30g, got 1.6g"
OUT_OF_RANGE,dried mint flakes,tsp,0.5,explicit_sr28_portion,SR28 172239 Spearmint dried tsp=0.5g,"tsp typical 1-12g, got 0.5g"
OUT_OF_RANGE,dried mint flakes,tbsp,1.6,explicit_sr28_portion,SR28 172239 Spearmint dried tbsp=1.6g,"tbsp typical 3-30g, got 1.6g"
OUT_OF_RANGE,mint flakes,tsp,0.5,explicit_sr28_portion,SR28 172239 Spearmint dried tsp=0.5g,"tsp typical 1-12g, got 0.5g"
OUT_OF_RANGE,mint flakes,tbsp,1.6,explicit_sr28_portion,SR28 172239 Spearmint dried tbsp=1.6g,"tbsp typical 3-30g, got 1.6g"
OUT_OF_RANGE,cloves,clove,0.5,reviewed_household_default,Corpus modal for whole clove spice is 0.5g per clove,"clove typical 3-12g, got 0.5g"
OUT_OF_RANGE,dried cilantro,tsp,0.5,reviewed_household_default,No exact SR28 food; dried leafy herbs align with parsley/mint near 0.5g per tsp,"tsp typical 1-12g, got 0.5g"
OUT_OF_RANGE,bay leaf,each,0.6,1 bay leaf ≈ 0.6g.,migrated from implementation/reviewed_household_unit_gram_rules.csv (bay_leaf_002),"each typical 1-2000g, got 0.6g"
OUT_OF_RANGE,cooking spray,count,0.5,Single spray burst ~0.5g; negligible nutrition.,migrated from implementation/reviewed_household_unit_gram_rules.csv (h3_cooking_spray_count_001),"count typical 1-1500g, got 0.5g"
OUT_OF_RANGE,fresh thyme,tbsp,2.4,Chopped fresh thyme tablespoon estimate.,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_frontier_fresh_thyme_tbsp_20260413),"tbsp typical 3-30g, got 2.4g"
OUT_OF_RANGE,fresh thyme,tsp,0.8,Chopped fresh thyme teaspoon estimate.,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_frontier_fresh_thyme_tsp_20260413),"tsp typical 1-12g, got 0.8g"
OUT_OF_RANGE,dried thyme,tbsp,2.7,SR28 dried thyme leaves tablespoon is 2.7g; ground thyme should use a ground concept.,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_sr28_dried_thyme_tbsp_20260413),"tbsp typical 3-30g, got 2.7g"
OUT_OF_RANGE,mixed salad green,cup,35,Mixed salad greens cup estimate from loose leafy greens.,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_sr28_mixed_salad_green_cup_20260413),"cup typical 40-350g, got 35.0g"
OUT_OF_RANGE,basil,tsp,0.7,SR28 dried basil has separate leaf and ground teaspoon weights; unqualified recipe teaspoon basil defaults to leaf basil.,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_sr28_basil_leaf_tsp_20260413),"tsp typical 1-12g, got 0.7g"
OUT_OF_RANGE,basil,tbsp,2.1,SR28 dried basil leaf tablespoon is 2.1g; ground basil should use a ground concept.,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_sr28_basil_leaf_tbsp_20260413),"tbsp typical 3-30g, got 2.1g"
OUT_OF_RANGE,ground cloves,count,0.15,One whole clove spice weighs about 0.15g; bare count cloves uses whole-clove quantity with ground-clove nutrition.,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_sr28_ground_cloves_count_20260413),"count typical 1-1500g, got 0.15g"
OUT_OF_RANGE,lettuce,cup,36,SR28 green leaf lettuce shredded cup is 36g.,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_sr28_lettuce_cup_20260413),"cup typical 40-350g, got 36.0g"
OUT_OF_RANGE,red leaf lettuce,cup,28,SR28 red leaf lettuce shredded cup is 28g.,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_sr28_red_leaf_lettuce_cup_20260413),"cup typical 40-350g, got 28.0g"
OUT_OF_RANGE,mixed sprout,cup,33,SR28 raw alfalfa sprout cup is 33g.,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_sr28_mixed_sprout_cup_20260413),"cup typical 40-350g, got 33.0g"
OUT_OF_RANGE,bay leaves,count,0.2,Reviewed culinary estimate for one dried bay leaf when recipe gives a leaf count and SR28 only supplies crumbled tsp/tbsp portions.,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_sr28_bay_leaves_count_20260414),"count typical 1-1500g, got 0.2g"
OUT_OF_RANGE,bay leaf,tsp,0.6,SR28 bay leaf provides 1 tsp crumbled at 0.6g for powder/crumbled use.,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_sr28_bay_leaf_powder_tsp_20260414),"tsp typical 1-12g, got 0.6g"
